Time,Ambient (deg C)
2018-04-07 03:59:54.103143,7.1
2018-04-07 04:09:54.100833,7.1
2018-04-07 04:19:54.098524,7.1
2018-04-07 04:29:54.096215,7.1
2018-04-07 04:39:54.093905,7.1
2018-04-07 04:49:54.091596,7.1
2018-04-07 04:59:54.089287,7.1
2018-04-07 05:09:54.086977,7.1
2018-04-07 05:19:54.084668,7.1
2018-04-07 05:29:54.082359,7.1
2018-04-07 05:39:54.080050,7.1
2018-04-07 05:49:54.077740,7.1
2018-04-07 05:59:54.075431,7.3
2018-04-07 06:09:54.073122,7.3
2018-04-07 06:19:54.070812,7.3
2018-04-07 06:29:54.068503,7.3
2018-04-07 06:39:54.066194,7.3
2018-04-07 06:49:54.063884,7.3
2018-04-07 06:59:54.061575,7.3
2018-04-07 07:09:54.059266,7.4
2018-04-07 07:19:54.056957,7.4
2018-04-07 07:29:54.054647,7.5
2018-04-07 07:39:54.052338,7.5
2018-04-07 07:49:54.050029,7.5
2018-04-07 07:59:54.047719,7.5
2018-04-07 08:09:54.045410,7.5
2018-04-07 08:19:54.043101,7.6
2018-04-07 08:29:54.040791,7.6
2018-04-07 08:39:54.038482,7.8
2018-04-07 08:49:54.036173,7.8
2018-04-07 08:59:54.033864,7.8
2018-04-07 09:09:54.031554,7.8
2018-04-07 09:19:54.029245,7.9
2018-04-07 09:29:54.026936,7.9
2018-04-07 09:39:54.024626,7.9
2018-04-07 09:49:54.022317,8.0
2018-04-07 09:59:54.020008,8.1
2018-04-07 10:09:54.017698,8.0
2018-04-07 10:19:54.015389,8.1
2018-04-07 10:29:54.013080,8.1
2018-04-07 10:39:54.010771,8.1
2018-04-07 10:49:54.008461,8.1
2018-04-07 10:59:54.006152,8.1
2018-04-07 11:09:54.003843,8.1
2018-04-07 11:19:54.001533,8.1
2018-04-07 11:29:53.999224,8.3
2018-04-07 11:39:53.996915,8.3
2018-04-07 11:49:53.994605,8.3
2018-04-07 11:59:53.992296,8.3
2018-04-07 12:09:53.989987,8.5
2018-04-07 12:19:53.987678,8.3
2018-04-07 12:29:53.985368,8.3
2018-04-07 12:39:53.983059,8.5
2018-04-07 12:49:53.980750,8.5
2018-04-07 12:59:53.978440,8.5
2018-04-07 13:09:53.976131,8.6
2018-04-07 13:19:53.973822,8.5
2018-04-07 13:29:53.971512,8.5
2018-04-07 13:39:53.969203,8.6
2018-04-07 13:49:53.966894,8.6
2018-04-07 13:59:53.964585,8.6
2018-04-07 14:09:53.962275,8.6
2018-04-07 14:19:53.959966,8.6
2018-04-07 14:29:53.957657,8.6
2018-04-07 14:39:53.955347,8.6
2018-04-07 14:49:53.953038,8.6
2018-04-07 14:59:53.950729,8.6
2018-04-07 15:09:53.948419,8.6
2018-04-07 15:19:53.946110,8.6
2018-04-07 15:29:53.943801,8.6
2018-04-07 15:39:53.941492,8.6
2018-04-07 15:49:53.939182,8.6
2018-04-07 15:59:53.936873,8.8
2018-04-07 16:09:53.934564,8.6
2018-04-07 16:19:53.932254,8.6
2018-04-07 16:29:53.929945,8.6
2018-04-07 16:39:53.927636,8.8
2018-04-07 16:49:53.925326,8.8
2018-04-07 16:59:53.923017,8.8
2018-04-07 17:09:53.920708,8.8
2018-04-07 17:19:53.918399,8.8
2018-04-07 17:29:53.916089,8.8
2018-04-07 17:39:53.913780,8.8
2018-04-07 17:49:53.911471,8.8
2018-04-07 17:59:53.909161,8.8
2018-04-07 18:09:53.906852,8.8
2018-04-07 18:19:53.904543,8.8
2018-04-07 18:29:53.902233,8.8
2018-04-07 18:39:53.899924,9.0
2018-04-07 18:49:53.897615,9.0
2018-04-07 18:59:53.895306,9.0
2018-04-07 19:09:53.892996,9.0
2018-04-07 19:19:53.890687,9.0
2018-04-07 19:29:53.888378,9.0
2018-04-07 19:39:53.886068,9.0
2018-04-07 19:49:53.883759,9.0
2018-04-07 19:59:53.881450,9.0
2018-04-07 20:09:53.879140,9.0
2018-04-07 20:19:53.876831,8.8
2018-04-07 20:29:53.874522,9.0
2018-04-07 20:39:53.872213,8.8
2018-04-07 20:49:53.869903,8.8
2018-04-07 20:59:53.867594,8.8
2018-04-07 21:09:53.865285,8.8
2018-04-07 21:19:53.862975,8.8
2018-04-07 21:29:53.860666,8.8
2018-04-07 21:39:53.858357,8.8
2018-04-07 21:49:53.856047,8.6
2018-04-07 21:59:53.853738,8.6
2018-04-07 22:09:53.851429,8.6
2018-04-07 22:19:53.849120,8.6
2018-04-07 22:29:53.846810,8.6
2018-04-07 22:39:53.844501,8.6
2018-04-07 22:49:53.842192,8.6
2018-04-07 22:59:53.839882,8.5
2018-04-07 23:09:53.837573,8.5
2018-04-07 23:19:53.835264,8.5
2018-04-07 23:29:53.832954,8.3
2018-04-07 23:39:53.830645,8.3
2018-04-07 23:49:53.828336,8.3
2018-04-07 23:59:53.826027,8.1
2018-04-08 00:09:53.823717,8.1
2018-04-08 00:19:53.821408,8.1
2018-04-08 00:29:53.819099,8.1
2018-04-08 00:39:53.816789,8.1
2018-04-08 00:49:53.814480,8.0
2018-04-08 00:59:53.812171,8.0
2018-04-08 01:09:53.809861,7.9
2018-04-08 01:19:53.807552,7.9
2018-04-08 01:29:53.805243,7.9
2018-04-08 01:39:53.802933,7.9
2018-04-08 01:49:53.800624,7.8
2018-04-08 01:59:53.798315,7.8
2018-04-08 02:09:53.796006,7.8
2018-04-08 02:19:53.793696,7.6
2018-04-08 02:29:53.791387,7.8
2018-04-08 02:39:53.789078,7.6
