receiver_SN,SyncTime,Id
461218,2018-04-04 17:38:11.673566,46903
461215,2018-04-04 17:38:11.682709,46903
461218,2018-04-04 17:38:12.881697,46903
461218,2018-04-04 17:38:14.005708,46903
461214,2018-04-04 17:38:15.169531,46903
461215,2018-04-04 17:38:15.175305,46903
461214,2018-04-04 17:38:16.389893,46903
461215,2018-04-04 17:38:16.395620,46903
461218,2018-04-04 17:38:17.534246,46903
461214,2018-04-04 17:38:17.538218,46903
461215,2018-04-04 17:38:17.543943,46903
461215,2018-04-04 17:38:18.740103,46903
461218,2018-04-04 17:38:19.830392,46903
461215,2018-04-04 17:38:19.840302,46903
461218,2018-04-04 17:38:20.942378,46903
461215,2018-04-04 17:38:20.952433,46903
461218,2018-04-04 17:38:22.078290,46903
461214,2018-04-04 17:38:22.083029,46903
461215,2018-04-04 17:38:22.088474,46903
461214,2018-04-04 17:38:23.255249,46903
461215,2018-04-04 17:38:23.260617,46903
461214,2018-04-04 17:38:24.511439,46903
461207,2018-04-04 17:38:24.528267,46903
461218,2018-04-04 17:38:25.738433,46903
461214,2018-04-04 17:38:25.743671,46903
461215,2018-04-04 17:38:25.748869,46903
461218,2018-04-04 17:38:26.922425,46903
461214,2018-04-04 17:38:26.927871,46903
461215,2018-04-04 17:38:26.933020,46903
461210,2018-04-04 17:38:30.376815,46903
461214,2018-04-04 17:38:30.396133,46903
461209,2018-04-04 17:38:30.403117,46903
461207,2018-04-04 17:38:30.413291,46903
461059,2018-04-04 17:38:30.418457,46903
461075,2018-04-04 17:38:30.435640,46903
461210,2018-04-04 17:38:31.609005,46903
461214,2018-04-04 17:38:31.628228,46903
461209,2018-04-04 17:38:31.635469,46903
461207,2018-04-04 17:38:31.645539,46903
461059,2018-04-04 17:38:31.650787,46903
461075,2018-04-04 17:38:31.667959,46903
461206,2018-04-04 17:38:31.684097,46903
461210,2018-04-04 17:38:32.781136,46903
461209,2018-04-04 17:38:32.807884,46903
461207,2018-04-04 17:38:32.817790,46903
461059,2018-04-04 17:38:32.823059,46903
461214,2018-04-04 17:38:34.055982,46903
461215,2018-04-04 17:38:34.060711,46903
461059,2018-04-04 17:38:34.079345,46903
461206,2018-04-04 17:38:34.112648,46903
461210,2018-04-04 17:38:35.257739,46903
461214,2018-04-04 17:38:35.276100,46903
461209,2018-04-04 17:38:35.284521,46903
461207,2018-04-04 17:38:35.294294,46903
461059,2018-04-04 17:38:35.299789,46903
461214,2018-04-04 17:38:36.436159,46903
461209,2018-04-04 17:38:36.444866,46903
461059,2018-04-04 17:38:36.460144,46903
461075,2018-04-04 17:38:36.477257,46903
461214,2018-04-04 17:38:37.668393,46903
461215,2018-04-04 17:38:37.672737,46903
461207,2018-04-04 17:38:37.686799,46903
461215,2018-04-04 17:38:38.844834,46903
461207,2018-04-04 17:38:38.859080,46903
461215,2018-04-04 17:38:40.100945,46903
461215,2018-04-04 17:38:41.321153,46903
461207,2018-04-04 17:38:41.335538,46903
461215,2018-04-04 17:38:42.481364,46903
461215,2018-04-04 17:38:43.701664,46903
461214,2018-04-04 17:38:44.857722,46903
461215,2018-04-04 17:38:44.861828,46903
461210,2018-04-04 17:38:46.072336,46903
461214,2018-04-04 17:38:46.090048,46903
461207,2018-04-04 17:38:46.108645,46903
461210,2018-04-04 17:38:47.256447,46903
461214,2018-04-04 17:38:47.274139,46903
461059,2018-04-04 17:38:47.298355,46903
461210,2018-04-04 17:38:48.536519,46903
461209,2018-04-04 17:38:48.563168,46903
461059,2018-04-04 17:38:48.578460,46903
461209,2018-04-04 17:38:49.831242,46903
461207,2018-04-04 17:38:49.840880,46903
461059,2018-04-04 17:38:49.846572,46903
461075,2018-04-04 17:38:49.863676,46903
461210,2018-04-04 17:38:51.048736,46903
461209,2018-04-04 17:38:51.075388,46903
461207,2018-04-04 17:38:51.085015,46903
461059,2018-04-04 17:38:51.090682,46903
461075,2018-04-04 17:38:51.107774,46903
461209,2018-04-04 17:38:52.283341,46903
461207,2018-04-04 17:38:52.292939,46903
461059,2018-04-04 17:38:52.298614,46903
461075,2018-04-04 17:38:52.315726,46903
461210,2018-04-04 17:38:53.392558,46903
461209,2018-04-04 17:38:53.419181,46903
461207,2018-04-04 17:38:53.428813,46903
461059,2018-04-04 17:38:53.434478,46903
461206,2018-04-04 17:38:53.467844,46903
461209,2018-04-04 17:38:54.603147,46903
461207,2018-04-04 17:38:54.612721,46903
461059,2018-04-04 17:38:54.618438,46903
461075,2018-04-04 17:38:54.635667,46903
461210,2018-04-04 17:38:55.856389,46903
461209,2018-04-04 17:38:55.883076,46903
461207,2018-04-04 17:38:55.892591,46903
461059,2018-04-04 17:38:55.898330,46903
461214,2018-04-04 17:38:57.142061,46903
461209,2018-04-04 17:38:57.151118,46903
461207,2018-04-04 17:38:57.160590,46903
461059,2018-04-04 17:38:57.166381,46903
461075,2018-04-04 17:38:57.183542,46903
461214,2018-04-04 17:38:58.398112,46903
461215,2018-04-04 17:38:58.402493,46903
461209,2018-04-04 17:38:58.407168,46903
461207,2018-04-04 17:38:58.416656,46903
461059,2018-04-04 17:38:58.422439,46903
461214,2018-04-04 17:38:59.618292,46903
461209,2018-04-04 17:38:59.627389,46903
461207,2018-04-04 17:38:59.636834,46903
461059,2018-04-04 17:38:59.642639,46903
461214,2018-04-04 17:39:00.778458,46903
461215,2018-04-04 17:39:00.782867,46903
461214,2018-04-04 17:39:01.998652,46903
461209,2018-04-04 17:39:02.007772,46903
461207,2018-04-04 17:39:02.017193,46903
461059,2018-04-04 17:39:02.023040,46903
461210,2018-04-04 17:39:03.141148,46903
461209,2018-04-04 17:39:03.167873,46903
461059,2018-04-04 17:39:03.183135,46903
461208,2018-04-04 17:39:03.213467,46903
461209,2018-04-04 17:39:04.399997,46903
461207,2018-04-04 17:39:04.409331,46903
461059,2018-04-04 17:39:04.415252,46903
461208,2018-04-04 17:39:04.445583,46903
461214,2018-04-04 17:39:05.574670,46903
461209,2018-04-04 17:39:05.584069,46903
461207,2018-04-04 17:39:05.593317,46903
461059,2018-04-04 17:39:05.599304,46903
461214,2018-04-04 17:39:06.842594,46903
461209,2018-04-04 17:39:06.852172,46903
461207,2018-04-04 17:39:06.861376,46903
461059,2018-04-04 17:39:06.867416,46903
461214,2018-04-04 17:39:08.098677,46903
461207,2018-04-04 17:39:08.117518,46903
461214,2018-04-04 17:39:09.318932,46903
461215,2018-04-04 17:39:09.323376,46903
461218,2018-04-04 17:39:10.473608,46903
461215,2018-04-04 17:39:10.483587,46903
461214,2018-04-04 17:39:11.711515,46903
461215,2018-04-04 17:39:11.715864,46903
461214,2018-04-04 17:39:12.895698,46903
461215,2018-04-04 17:39:12.900000,46903
461214,2018-04-04 17:39:14.175798,46903
461215,2018-04-04 17:39:14.180114,46903
461209,2018-04-04 17:39:14.185294,46903
461214,2018-04-04 17:39:15.443935,46903
461215,2018-04-04 17:39:15.448250,46903
461214,2018-04-04 17:39:16.700125,46903
461215,2018-04-04 17:39:16.704392,46903
461209,2018-04-04 17:39:16.709798,46903
461214,2018-04-04 17:39:17.920471,46903
461215,2018-04-04 17:39:17.924707,46903
461214,2018-04-04 17:39:19.080714,46903
461215,2018-04-04 17:39:19.084918,46903
461215,2018-04-04 17:39:20.305218,46903
461214,2018-04-04 17:39:21.461272,46903
461215,2018-04-04 17:39:21.465474,46903
461215,2018-04-04 17:39:22.685804,46903
461059,2018-04-04 17:39:22.705841,46903
461214,2018-04-04 17:39:23.829899,46903
461215,2018-04-04 17:39:23.834021,46903
461209,2018-04-04 17:39:23.839183,46903
461059,2018-04-04 17:39:23.854431,46903
461214,2018-04-04 17:39:25.037962,46903
461215,2018-04-04 17:39:25.042129,46903
461215,2018-04-04 17:39:26.178125,46903
461214,2018-04-04 17:39:27.346195,46903
461215,2018-04-04 17:39:27.350283,46903
461214,2018-04-04 17:39:28.590421,46903
461215,2018-04-04 17:39:28.594508,46903
461214,2018-04-04 17:39:29.786598,46903
461214,2018-04-04 17:39:30.898745,46903
461215,2018-04-04 17:39:30.902814,46903
461214,2018-04-04 17:39:32.034788,46903
461215,2018-04-04 17:39:32.038809,46903
461214,2018-04-04 17:39:33.218894,46903
461215,2018-04-04 17:39:33.222884,46903
461207,2018-04-04 17:39:33.237338,46903
461214,2018-04-04 17:39:34.486986,46903
461207,2018-04-04 17:39:34.505505,46903
461059,2018-04-04 17:39:34.511016,46903
461214,2018-04-04 17:39:35.731122,46903
461059,2018-04-04 17:39:35.755187,46903
461210,2018-04-04 17:39:38.021535,46903
461214,2018-04-04 17:39:38.039384,46903
461209,2018-04-04 17:39:38.048287,46903
461207,2018-04-04 17:39:38.057976,46903
461059,2018-04-04 17:39:38.063583,46903
461075,2018-04-04 17:39:38.080703,46903
461210,2018-04-04 17:39:39.181811,46903
461209,2018-04-04 17:39:39.208434,46903
461207,2018-04-04 17:39:39.218066,46903
461210,2018-04-04 17:39:40.401870,46903
461209,2018-04-04 17:39:40.428609,46903
461207,2018-04-04 17:39:40.438244,46903
461059,2018-04-04 17:39:40.443908,46903
461075,2018-04-04 17:39:40.461024,46903
461215,2018-04-04 17:39:41.571669,46903
461209,2018-04-04 17:39:41.576839,46903
461207,2018-04-04 17:39:41.586446,46903
461059,2018-04-04 17:39:41.592132,46903
461214,2018-04-04 17:39:42.775752,46903
461215,2018-04-04 17:39:42.779608,46903
461207,2018-04-04 17:39:42.794433,46903
461214,2018-04-04 17:39:43.911673,46903
461215,2018-04-04 17:39:43.915573,46903
461215,2018-04-04 17:39:45.099710,46903
461215,2018-04-04 17:39:46.379793,46903
461214,2018-04-04 17:39:47.644047,46903
461215,2018-04-04 17:39:47.647913,46903
